ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
202562,0.11,-0.3,-0.14,-0.17,0.71,RIPE,1.0,1.0,NL,16.0,Europe,Educational/Research,Open,3.0,0.0,1.0,,,,1.0,RIS
202563,-0.03,-0.3,-0.06,0.0,-0.02,RIPE,1.0,2.0,PL,8.0,,,,,,0.0,,,,2.0,RIS
202564,-0.13,-0.3,-0.61,0.0,-0.02,RIPE,1.0,2.0,SK,2.0,,,,,,0.0,,,,4.0,RIS
202566,0.11,-0.22,-0.06,0.15,-0.02,RIPE,1.0,2.0,DE,6.0,Europe,Cable/DSL/ISP,Selective,6.0,4.0,1.0,,,,2.0,RIS
202568,0.11,-0.17,-0.61,0.0,-0.02,RIPE,1.0,4.0,FR,2.0,,,,,,0.0,,,,4.0,RIS
202569,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,2.0,FR,2.0,,,,,,0.0,,,,2.0,RIS
202570,0.03,-0.25,-0.51,0.0,-0.02,RIPE,2.0,2.0,RU,2.0,,,,,,0.0,,,,2.0,RIS
202571,-0.1,-0.22,-0.61,0.0,-0.02,RIPE,1.0,2.0,IR,2.0,,,,,,0.0,,,,6.0,RIS
202574,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,2.0,GB,2.0,,,,,,0.0,,,,6.0,RIS
202582,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,FR,2.0,,,,,,0.0,,,,1.0,RIS
202583,0.1,-0.17,-0.16,-0.29,-0.73,RIPE,1.0,8.0,ES,10.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,1.0,,,13.0,RIS
202591,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,3.0,NL,2.0,,,,,,0.0,,,,6.0,RIS
