ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
397654,-0.13,-0.13,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,,,Atlas
34618,0.05,-0.01,-0.12,0.0,-0.01,RIPE,1.0,5.0,IT,2.0,,,,,,0.0,,,,,Atlas
34619,0.0,0.05,-0.09,0.0,-0.01,RIPE,3.0,123.0,TR,4.0,,,,,,0.0,,,,,Atlas
397655,-0.13,-0.18,-0.03,0.0,-0.01,ARIN,1.0,1.0,US,3.0,,,,,,0.0,,,,,Atlas
34624,0.05,-0.01,0.05,-0.09,0.07,RIPE,1.0,11.0,DE,47.0,Europe,Content,Open,1.0,4.0,1.0,,,,,Atlas
34628,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,SE,2.0,,,,,,0.0,,,,,Atlas
34629,0.04,0.04,0.01,0.0,-0.01,RIPE,7.0,14.0,RU,7.0,,,,,,0.0,,,,,Atlas
34630,0.03,-0.09,-0.04,-0.19,-0.04,RIPE,1.0,2.0,RO,11.0,Regional,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,,,Atlas
34636,0.01,0.05,-0.0,-0.19,-0.28,RIPE,5.0,59.0,IR,11.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,,Atlas
34639,0.04,-0.18,-0.01,0.0,-0.01,RIPE,1.0,1.0,RU,5.0,,,,,,0.0,,,,,Atlas
34640,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,GB,2.0,,,,,,0.0,,,,,Atlas
34642,0.04,-0.18,-0.03,0.0,-0.01,RIPE,1.0,1.0,RU,3.0,,,,,,0.0,,,,,Atlas
397659,-0.1,-0.09,-0.12,0.0,-0.01,ARIN,1.0,2.0,CA,2.0,,,,,,0.0,,,,,Atlas
34650,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,3.0,IT,2.0,,,,,,0.0,,,,,Atlas
397661,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,,,Atlas
34653,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,BG,2.0,,,,,,0.0,,,,,Atlas
34654,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,1.0,GB,2.0,,,,,,0.0,,,,,Atlas
34655,0.05,0.0,0.06,0.05,0.12,RIPE,2.0,34.0,LU,225.0,Global,Content,Open,20.0,20.0,1.0,,,,,Atlas
34656,0.04,-0.18,-0.03,0.0,-0.01,RIPE,1.0,2.0,PL,3.0,,,,,,0.0,,,,,Atlas
34661,0.04,0.05,-0.03,-0.09,0.08,RIPE,3.0,19.0,UA,5.0,Europe,Cable/DSL/ISP,Open,3.0,0.0,1.0,,,,,Atlas
34662,0.04,-0.09,-0.07,0.0,-0.01,RIPE,1.0,2.0,RU,1.0,,,,,,0.0,,,,,Atlas
34663,0.05,-0.09,-0.09,0.0,-0.01,RIPE,2.0,2.0,NL,3.0,,,,,,0.0,,,,,Atlas
34664,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,,Atlas
34665,0.04,0.06,0.04,-0.07,-0.12,RIPE,5.0,305.0,RU,10.0,Europe,Cable/DSL/ISP,Open,6.0,0.0,1.0,,,,,Atlas
34666,0.0,0.02,-0.09,0.0,-0.01,RIPE,3.0,31.0,GE,4.0,,,,,,0.0,,,,,Atlas
34668,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,1.0,UA,2.0,,,,,,0.0,,,,,Atlas
34669,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,3.0,RU,2.0,,,,,,0.0,,,,,Atlas
397664,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,,,Atlas
34671,0.04,-0.18,-0.12,-0.19,-0.28,RIPE,1.0,1.0,RU,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,,Atlas
397665,-0.13,-0.05,-0.01,0.0,-0.01,ARIN,1.0,4.0,US,5.0,,,,,,0.0,,,,,Atlas
34674,0.04,-0.04,-0.12,0.0,-0.01,RIPE,1.0,17.0,BG,2.0,,,,,,0.0,,,,,Atlas
397666,-0.13,-0.05,-0.12,-0.19,0.06,ARIN,1.0,8.0,US,2.0,North America,,Open,0.0,0.0,1.0,,,,,Atlas
34679,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,,,Atlas
34681,0.04,-0.18,0.0,-0.09,1.05,RIPE,1.0,1.0,PL,12.0,Global,Non-Profit,Open,4.0,0.0,1.0,1.0,1.0,,,Atlas
34682,0.04,-0.05,-0.07,0.0,-0.01,RIPE,2.0,7.0,RU,2.0,,,,,,0.0,,,,,Atlas
397667,-0.1,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,CA,2.0,,,,,,0.0,,,,,Atlas
34691,0.05,-0.02,0.03,0.02,-0.03,RIPE,3.0,7.0,IT,24.0,Regional,Cable/DSL/ISP,Open,3.0,5.0,1.0,,,,,Atlas
397669,-0.13,-0.18,-0.03,0.0,-0.01,ARIN,1.0,1.0,US,3.0,,,,,,0.0,,,,,Atlas
34694,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,2.0,AT,2.0,,,,,,0.0,,,,,Atlas
34697,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,1.0,GB,2.0,,,,,,0.0,,,,,Atlas
34698,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,,Atlas
34700,0.04,0.06,0.0,-0.09,0.06,RIPE,11.0,59.0,UA,22.0,Regional,Cable/DSL/ISP,Open,5.0,1.0,1.0,,,,,Atlas
